Comune,Opera,Profondità,Longitudine_WGS84,Latitudine_WGS84,URL,LEGENDA
LIMBADI,POZZO PER ACQUA,218,15°57'51.66''E,38°34'00.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175572,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,70,16°00'40.26''E,38°22'35.43''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16706,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,55,15°58'31.69''E,38°21'34.13''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177164,POZZI IDRICI
CITTANOVA,POZZO PER ACQUA,90,16°05'34.66''E,38°34'57.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176350,POZZI IDRICI
CITTANOVA,POZZO PER ACQUA,100,16°02'27.67''E,38°25'58.19''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176341,POZZI IDRICI
ROSARNO,POZZO PER ACQUA,35,15°57'47.66''E,38°29'05.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176972,POZZI IDRICI
POLISTENA,POZZO PER ACQUA,100,16°03'39.67''E,38°24'21.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176577,POZZI IDRICI
LIMBADI,POZZO PER ACQUA,270,15°58'12.50''E,38°34'05.00''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16766,POZZI IDRICI
GIOIA TAURO,POZZO PER ACQUA,115,15°56'03.70''E,38°25'07.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176429,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,53,15°58'58.18''E,38°23'53.62''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16714,POZZI IDRICI
DINAMI,POZZO PER ACQUA,40,16°12'13.68''E,38°30'30.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=153930,POZZI IDRICI
LIMBADI,POZZO PER ACQUA,165,15°58'57.65''E,38°31'34.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175565,POZZI IDRICI
GIOIA TAURO,POZZO PER ACQUA,110,15°55'47.68''E,38°24'37.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176437,POZZI IDRICI
ROSARNO,POZZO PER ACQUA,60,15°59'48.66''E,38°27'03.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176961,POZZI IDRICI
SAN CALOGERO,POZZO PER ACQUA,145,16°02'10.64''E,38°35'15.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175833,POZZI IDRICI
POLISTENA,POZZO PER ACQUA,70,16°04'02.68''E,38°24'10.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176551,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,60,15°58'29.68''E,38°26'43.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176565,POZZI IDRICI
LIMBADI,POZZO PER ACQUA,85,15°58'29.68''E,38°32'53.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175622,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,56,16°00'48.67''E,38°25'04.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177043,POZZI IDRICI
CINQUEFRONDI,POZZO PER ACQUA,107,16°05'00.67''E,38°25'19.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176269,POZZI IDRICI
MILETO,POZZO PER ACQUA,152,16°03'28.66''E,38°33'32.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175760,POZZI IDRICI
SAN CALOGERO,POZZO PER ACQUA,177,16°01'36.66''E,38°32'28.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175856,POZZI IDRICI
ROMBIOLO,POZZO PER ACQUA,80,15°59'28.64''E,38°36'07.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175823,POZZI IDRICI
CITTANOVA,POZZO PER ACQUA,220,16°04'18.18''E,38°21'05.29''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16552,POZZI IDRICI
DINAMI,POZZO PER ACQUA,98,16°10'06.67''E,38°31'02.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175499,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,70,15°59'18.67''E,38°26'32.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176881,POZZI IDRICI
NICOTERA,POZZO PER ACQUA,40,15°55'15.64''E,38°34'09.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175792,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,48,16°00'12.70''E,38°22'50.61''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16719,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,110,16°00'58.68''E,38°20'53.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177179,POZZI IDRICI
ROSARNO,POZZO PER ACQUA,85,16°01'20.68''E,38°26'41.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176949,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,50,15°58'16.68''E,38°26'13.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176907,POZZI IDRICI
MILETO,POZZO PER ACQUA,105,16°02'39.66''E,38°34'43.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175755,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,100,15°57'31.68''E,38°24'03.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176981,POZZI IDRICI
MELICUCCO,POZZO PER ACQUA,90,16°02'07.69''E,38°27'37.19''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176371,POZZI IDRICI
LIMBADI,POZZO PER ACQUA,176,15°57'43.63''E,38°34'49.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175611,POZZI IDRICI
NICOTERA,POZZO PER ACQUA,70,15°57'05.47''E,38°32'42.92''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16773,POZZI IDRICI
ROSARNO,POZZO PER ACQUA,130,16°00'46.69''E,38°26'56.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177025,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,74,15°59'12.70''E,38°23'25.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177076,POZZI IDRICI
ANOIA,POZZO PER ACQUA,148,16°04'12.68''E,38°26'54.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176189,POZZI IDRICI
GIOIA TAURO,POZZO PER ACQUA,65,15°55'00.66''E,38°25'25.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176526,POZZI IDRICI
SAN FERDINANDO,POZZO PER ACQUA,25,15°56'15.68''E,38°29'12.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176999,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,120,16°01'40.69''E,38°21'23.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177106,POZZI IDRICI
POLISTENA,POZZO PER ACQUA,102,16°04'18.70''E,38°23'41.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176780,POZZI IDRICI
SAN CALOGERO,POZZO PER ACQUA,35,16°00'58.64''E,38°33'14.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176003,POZZI IDRICI
SAN CALOGERO,POZZO PER ACQUA,170,16°00'53.68''E,38°33'38.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175937,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,55,15°58'44.69''E,38°26'20.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176829,POZZI IDRICI
GIOIA TAURO,POZZO PER ACQUA,100,15°56'33.68''E,38°24'52.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176431,POZZI IDRICI
SAN CALOGERO,POZZO PER ACQUA,155,16°01'18.66''E,38°33'27.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175947,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,80,16°00'43.70''E,38°21'46.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177061,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,50,16°00'38.70''E,38°24'46.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176962,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,60,15°59'56.69''E,38°23'30.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177113,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,70,16°00'43.65''E,38°23'11.56''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16709,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,60,15°58'48.68''E,38°22'09.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177165,POZZI IDRICI
POLISTENA,POZZO PER ACQUA,70,16°02'59.68''E,38°25'05.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176541,POZZI IDRICI
CITTANOVA,POZZO PER ACQUA,150,16°03'07.67''E,38°23'49.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176342,POZZI IDRICI
LIMBADI,POZZO PER ACQUA,118,15°59'26.66''E,38°34'47.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175659,POZZI IDRICI
MELICUCCO,POZZO PER ACQUA,140,16°02'03.35''E,38°27'29.87''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16579,POZZI IDRICI
GIOIA TAURO,POZZO PER ACQUA,70,15°55'04.69''E,38°25'25.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176461,POZZI IDRICI
ROSARNO,POZZO PER ACQUA,68,15°59'35.66''E,38°27'09.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177022,POZZI IDRICI
CANDIDONI,POZZO PER ACQUA,50,16°03'11.01''E,38°30'49.57''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16544,POZZI IDRICI
LIMBADI,POZZO PER ACQUA,270,15°58'09.66''E,38°33'56.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175633,POZZI IDRICI
FEROLETO DELLA CHIESA,POZZO PER ACQUA,200,16°03'01.69''E,38°28'15.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176376,POZZI IDRICI
