;;;;;;;;;;;;;;;;;;;;;top1;bottom1;strato1;top2;bottom2;strato2;top3;bottom3;strato3;top4;bottom4;strato4;top5;bottom5;strato5;top6;bottom6;strato6;top7;bottom7;strato7;;;;;;
16.036031;38.357539;177167;Calabria;REGGIO DI CALABRIA;TAURIANOVA;180;1995;5;3;1;170;10;ND;ND;ND;ND;ND;ND;58;60;0;10;SABBIE E SILTS;10;100;SABBIE E CIOTTOLI CON LIVELLI INTERCALATI LIMOSO-ARGILLOSO;100;180;SABBIE CON INTERCALAZIONI ARGILLOSE;;;;;;;;;;;;;;;;;;
16.047689;38.423939;176598;Calabria;REGGIO DI CALABRIA;POLISTENA;100;1997;10;8;2;0;40;41;59;ND;ND;ND;ND;30;45;0;1;TERRENO UMOSO;1;4;GHIAIA E PIETRISCO;4;34;ROCCIA VIVA;34;70;SABBIA FINE;70;100;ARGILLA COMPATTA;100;100;FALDA ACQUIFERA;;;;;;;;;
15.992969;38.444769;176843;Calabria;REGGIO DI CALABRIA;RIZZICONI;50;1991;15;15;1;26;24;ND;ND;ND;ND;ND;ND;26;26;0;2;VEGETALE;2;26;SABBIONE;26;50;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
15.910739;38.436711;176441;Calabria;REGGIO DI CALABRIA;GIOIA TAURO;120;1991;15;900;1;100;20;ND;ND;ND;ND;ND;ND;40;42;0;3;TERRENO VEGETALE;3;80;SABBIONE;80;100;ARGILLA;100;120;SABBIA E GHIAIA;;;;;;;;;;;;;;;
16.0549;38.581989;175763;Calabria;VIBO VALENTIA;MILETO;80;1994;1.5;1.5;1;50;3;ND;ND;ND;ND;ND;ND;25;50;0;1;TERRENO VEGETALE;1;32;CALCARE;32;80;ARGILLOSO;;;;;;;;;;;;;;;;;;
15.989069;38.603381;175820;Calabria;VIBO VALENTIA;ROMBIOLO;90;1993;3.5;3;2;60;5;80;4;ND;ND;ND;ND;50;60;0;4;TERRENO AGRARIO;4;25;CALCARE E SABBIA;25;60;GRANITO IN DISFACIMENTO;60;65;GRANITO COMPATTO;65;80;GRANITO E CONGLOMERATO;80;85;GRANITO COMPATTO;85;90;GRANITO E CONGLOMERATI;;;;;;
16.064361;38.4156;176592;Calabria;REGGIO DI CALABRIA;POLISTENA;90;2005;ND;ND;1;55;0;ND;ND;ND;ND;ND;ND;24;66;0;2;TERRENO VEGETALE COSTITUITO DA ARGILLA LIMOSA DI COLORE MARRONE SCURO;2;15;ALTERNANZA DI LIVELLI SABBIOSO - GHIAIOSI DI NATURA ALLUVIONALE;15;40;ARGILLA SABBIOSA E SABBIA DI COLORE GIALLO, PRIVA DI FALDA ACQUIFERA;40;75;ALTERNANZA DI SABBIA E ARGILLA CON LIVELLI DI ARENARIA CHE OSPITANO UNA FALDA ACQUIFERA MOLTO CONSISTENTE;75;90;ARGILLA DI COLORE GRIGIO;;;;;;;;;;;;
15.980469;38.395319;177087;Calabria;REGGIO DI CALABRIA;TAURIANOVA;64;1995;7;ND;1;38;26;ND;ND;ND;ND;ND;ND;34;50;0;5;TERRENO VEGETALE;5;38;ARGILLOSO;38;64;PIETRISCO E SABBIA;;;;;;;;;;;;;;;;;;
16.051883;38.405811;16596;Calabria;REGGIO DI CALABRIA;POLISTENA;100;ND;16;11;0;ND;ND;ND;ND;ND;ND;ND;ND;40;47.9;0;7.5;DEPOSITI CONTINENTALI CONGLOMERATICI, SABBIOSI E LIMOSI DI ORIGINE ALLUVIONALE E FLUVIALE. PRESENTANO PERMEABILITA ELEVATA.;7.5;100;DEPOSITI SABBIOSI E SABBIOSO SILTOSI, DI COLORE BRUNO CHIARO, DI CHIARA ORIGINE MARINA. LE PARTICELLE SONO A GRANA DA FINE A GROSSOLANA, QUESTO COMPLESSO PRESENTA PERMEABILITA ELEVATA.;;;;;;;;;;;;;;;;;;;;;
16.04185;38.430881;176311;Calabria;REGGIO DI CALABRIA;CITTANOVA;85;1993;7.5;5.5;2;38;10;68;12;ND;ND;ND;ND;18;23;0;1;TERRENO VEGETALE;1;25;PIETRA DI FIUME E SABBIA;25;38;ARGILLA SABBIOSA GIALLA;38;48;SABBIA GIALLA CON ACQUA;48;68;ARGILLA BLU;68;80;SABBIA CON ACQUA;80;85;ARGILLA BLU;;;;;;
16.013519;38.436989;176902;Calabria;REGGIO DI CALABRIA;RIZZICONI;110;1992;6;5;2;0;40;70;40;ND;ND;ND;ND;19;42;0;3;HUMUS E TERRENO VEGETALE;3;15;ARGILLA COMPATTA;15;51;SABBIA E PIETRISCO;51;90;ARGILLA CALCAREA;90;110;ARGILLA LIMOSA E FALDA ACQUIFERA;;;;;;;;;;;;
15.985128;38.419442;16682;Calabria;REGGIO DI CALABRIA;RIZZICONI;39;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;20;ND;0;1.75;TERRENO PEDOGENETICO SUPERFICIALE DI COPERTURA.;1.75;37.5;DEPOSITI CONTINENTALI CONGLOMERATICI, SABBIOSI E LIMOSI DI COLORE ROSSASTRO ED ORIGINE ALLUVIONALE. PRESENTANO PERMEABILITA ELEVATA.;37.5;39;DEPOSITI SABBIOSI E SABBIOSO SILTOSI, DI COLORE BRUNO CHIARO, DI ORIGINE CONTINENTALE. LE PARTICELLE SONO A GRANA DA FINE A GROSSOLANA, QUESTO COMPLESSO PRESENTA PERMEABILITA ELEVATA.;;;;;;;;;;;;;;;;;;
16.006289;38.546711;175973;Calabria;VIBO VALENTIA;SAN CALOGERO;120;ND;10;7;2;70;8;105;10;ND;ND;70;120;ND;ND;0;3.5;TERRENO AGRICOLO DI NATURA SABBIOSA LIMOSA,MARRONE;3.5;70;SABBIA A GRANULOMETRIA MEDIO GROSSOLANA CON LOCALI INCLUSIONI DI BLOCCHI GRANITICI;70;120;GRANITO BIOTITICO DEBOLMENTE ALTERATO A INREGRO,LOCALMENTE FRATTURATO;;;;;;;;;;;;;;;;;;
16.012969;38.424211;177024;Calabria;REGGIO DI CALABRIA;RIZZICONI;68;1995;7;ND;2;40;10;60;8;ND;ND;ND;ND;15;50;0;8;TERRENO VEGETALE;8;40;TERRENO ARGILLOSO;40;50;PIETRISCO E SABBIA;50;60;MATERIALE ARGILLOSO;60;68;PIETRISCO E SABBIA;;;;;;;;;;;;
16.038239;38.564769;175894;Calabria;VIBO VALENTIA;SAN CALOGERO;150;1993;5;4;2;60;14;120;12;ND;ND;ND;ND;70;90;0;4;TERRENO AGRARIO;4;36;CONGLOMERATI,SABBIA E ARGILLA;36;60;GRANITO IN DISFACIMENTO;60;74;GRANITO COMPATTO;74;120;CONGLOMERATI,RESIDUI GRANITI,ARGILLA;120;132;GRANITO COMPATTO;132;150;GRANITO IN DISFACIMENTO;;;;;;
15.979069;38.542819;175661;Calabria;VIBO VALENTIA;LIMBADI;170;1995;8;6;1;140;25;ND;ND;ND;ND;140;170;100;140;0;6;TERRENO VEGETALE;6;35;DEPOSITO CONTINENTALE SABBIE E CONGLOMERATI SABBIOSI IN MATRICE LIMOSA MARRONE;35;120;GRANITO DEBOLMENTE ALTERATO E POCO FRATTURATO;120;125;GRANITO ALTERATO;125;170;GRANITO INTEGRO;;;;;;;;;;;;
16.026581;38.383931;177132;Calabria;REGGIO DI CALABRIA;TAURIANOVA;125;1990;15;15;2;80;2;105;20;ND;ND;ND;ND;40;70;0;40;PIETRISCO MISTO A TUFO;40;80;SABBIA ARGILLOSA;80;82;FALDA SABBIOSA;82;105;ARGILLA;105;125;FALDA ACQUIFERA MISTO TUFO;;;;;;;;;;;;
15.914911;38.4231;176521;Calabria;REGGIO DI CALABRIA;GIOIA TAURO;65;1992;15;900;1;30;35;ND;ND;ND;ND;ND;ND;30;30;0;2;TERRENO VEGETALE;2;30;SABBIONE;30;65;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
16.071289;38.570319;175746;Calabria;VIBO VALENTIA;MILETO;170;1994;1.16;1.16;2;145;1;155;2;ND;ND;ND;ND;120;150;0;1;TERRENO VEGETALE;1;90;ARGILLA MISTA CIOTTOLAME DETRITI;90;170;ARGILLA;;;;;;;;;;;;;;;;;;
16.001019;38.539489;175961;Calabria;VIBO VALENTIA;SAN CALOGERO;135;1994;3.5;3;1;125;5;ND;ND;ND;ND;99;135;70;100;0;5;HUMUS;5;40;ARGILLA;40;110;ARENARIE;110;135;ROCCIA;;;;;;;;;;;;;;;
16.012411;38.552819;175884;Calabria;VIBO VALENTIA;SAN CALOGERO;84;1991;7;7;2;40;3;49;1;ND;ND;ND;ND;50;60;0;1;TERRENO VEGETALE;1;40;ARGILLA;40;70;SABBIA;70;84;GRANITO;;;;;;;;;;;;;;;
15.960181;38.539761;175809;Calabria;VIBO VALENTIA;NICOTERA;100;1996;15;11.6;2;69;2;82;3;ND;ND;ND;ND;20;40;0;5;TERRENO VEGETALE;5;25;ARGILLA GRIGIA;25;100;ROCCIA GRANODIORITICA;;;;;;;;;;;;;;;;;;
15.9774;38.551989;175598;Calabria;VIBO VALENTIA;LIMBADI;95;1992;7;7;2;22;5;28;9;ND;ND;ND;ND;22;37;0;10;TERRENO VEGETALE;10;15;ROCCIA CALCAREA;15;70;ARGILLA;;;;;;;;;;;;;;;;;;
15.995469;38.4256;177010;Calabria;REGGIO DI CALABRIA;RIZZICONI;45;1988;15;15;2;30;5;40;5;ND;ND;ND;ND;30;30;0;5;TERRENO VEGETALE;5;30;SABBIOSO;30;45;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
15.959911;38.5031;176219;Calabria;REGGIO DI CALABRIA;CANDIDONI;40;ND;11.667;ND;1;5;35;ND;ND;ND;ND;ND;ND;5;10.7;0;7;LIMO-ARGILLOSO;7;26;SABBIOSO;26;40;GHIAIOSO;;;;;;;;;;;;;;;;;;
15.925739;38.489489;176997;Calabria;REGGIO DI CALABRIA;SAN FERDINANDO;40;1993;14;12.33;1;30;8;ND;ND;ND;ND;ND;ND;18;23;0;1;TERRENO VEGETALE;1;3.5;SABBIA;3.5;30;ARGILLA;30;38;GHIAIA CON ACQUA;38;40;ARGILLA;;;;;;;;;;;;
16.067969;38.411161;176620;Calabria;REGGIO DI CALABRIA;POLISTENA;92;1990;19;10;2;32;22;70;20;ND;ND;ND;ND;15;30;0;2;TERRENO VEGETALE;2;12;PIETRA DI FIUME;12;24;SABBIA;24;32;ARGILLA GIALLA;32;54;SABBIA CON ACQUA;54;70;ARGILLA BLU;70;90;STRATI DI SABBIA;90;92;ARGILLA BLU;;;
15.911964;38.432831;16564;Calabria;REGGIO DI CALABRIA;GIOIA TAURO;50;ND;ND;10;1;40;0;ND;ND;ND;ND;ND;ND;32;35.1;0;1.8;TERRENO VEGETALE [SUOLO BRUNO-ROSSASTRO P.D.];1.8;15;SABBIE CONGLOMERATICHE CON LIVELLI FINI;15;50;SABBIE LIMOSE E LIMI SABBIOSI;;;;;;;;;;;;;;;;;;
16.098511;38.602831;175506;Calabria;VIBO VALENTIA;FRANCICA;80;1991;3;ND;2;16;2;25;35;ND;ND;ND;ND;60;ND;0;10;VEGETALE;10;20;SABBIA;20;80;ARGILLA;;;;;;;;;;;;;;;;;;
15.951631;38.368606;177112;Calabria;REGGIO DI CALABRIA;TAURIANOVA;85;1989;13;13;1;35;30;ND;ND;ND;ND;ND;ND;35;37;0;85;DEPOSITI CONTINENTALI ROSSASTRI COSTITUITI DA CONGLOMERATI SABBIOSI;;;;;;;;;;;;;;;;;;;;;;;;
16.092411;38.398661;176697;Calabria;REGGIO DI CALABRIA;POLISTENA;100;1997;6;5;2;0;18;18;82;ND;ND;ND;ND;30;45;0;2;TERRENO UMIFERO;2;30;TERRENO ROCCIOSO;30;45;GHIAIA E PIETRISCO;45;68;SABBIA FINE;68;100;ARGILLA COMPATTA;;;;;;;;;;;;
15.978519;38.5256;175690;Calabria;VIBO VALENTIA;LIMBADI;100;1992;9;9;2;80;3;96;4;ND;ND;ND;ND;30;80;0;1;TERRENO VEGETALE;1;55;CONGLOMERATI SABBIOSI MISTI A CIOTOLAME DETRITICI;55;100;ARGILLE SILTOSE;;;;;;;;;;;;;;;;;;
